activite,departement,Nombre_Agrements
Chimie,Rh\u00f4ne,7
Chimie,Bouches-du-Rh\u00f4ne,5
Chimie,Gironde,3
Chimie,Seine-et-Marne,3
Chimie,Paris,3
Chimie,Vienne,2
Chimie,Morbihan,2
Chimie,Haute-Garonne,2
Chimie,H\u00e9rault,2
Chimie,Calvados,2
Chimie,C\u00f4tes-d'Armor,2
Chimie,Bas-Rhin,2
Chimie,Vosges,1
Chimie,Ni\u00e8vre,1
Chimie,Val-de-Marne,1
Chimie,Var,1
Chimie,Marne,1
Chimie,Moselle,1
Chimie,Indre-et-Loire,1
Chimie,Ille-et-Vilaine,1
Chimie,Loiret,1
Chimie,Meurthe-et-Moselle,1
Chimie,Jura,1
Chimie,Val-d'Oise,1
Chimie,Corr\u00e8ze,1
Chimie,Puy-de-D\u00f4me,1
Chimie,Hauts-de-Seine,1
Chimie,Yvelines,1
Chimie,Charente-Maritime,1
Chimie,Alpes-Maritimes,1
